frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz
39.3728,0.15366,2959.05,0.112793,192.075
39.4657,0.131717,1747.31,0.0478516,193.187
39.5585,0.108028,960.54,0.0317383,196.564
39.6514,0.0966457,1669.72,0.0664062,196.564
39.7443,0.0562024,1416.1,0.0644531,201.159
39.8371,0.106834,1313.6,0.0527344,194.306
39.93,0.125716,2999.18,0.165527,207.053
40.0228,0.153426,1891.73,0.0595703,201.159
40.1157,0.130631,1333.63,0.0405273,210.672
40.2086,0.131918,947.235,0.0283203,209.459
40.3014,0.138254,2691.88,0.108398,214.355
40.3943,0.1559,2853.85,0.130371,71.1203
40.4871,0.145056,1395.44,0.0410156,204.675
40.58,0.137344,1372.04,0.0566406,200
40.6729,0.0942348,1370.52,0.0532227,84.0896
40.7657,0.15306,3103.23,0.151855,193.187
40.8586,0.166883,2385.74,0.0771484,176.133
40.9514,0.167357,1205.64,0.0390625,177.154
41.0443,0.187006,1105.83,0.0395508,197.703
41.1372,0.201537,1682.5,0.0683594,175.119
41.23,0.191818,1838.24,0.0756836,174.11
41.3229,0.195243,2411.4,0.0893555,175.119
41.4157,0.18045,2536.88,0.120117,196.564
41.5086,0.205231,1448.68,0.0673828,185.532
41.6015,0.198082,2023.37,0.0766602,196.564
41.6943,0.189496,2742.58,0.0874023,207.053
41.7872,0.215034,1607.97,0.0439453,188.775
41.8801,0.166321,2190.48,0.0927734,195.432
41.9729,0.166992,2133.9,0.090332,176.133
42.0658,0.108987,3901.9,0.283691,177.154
42.1586,0.136274,2987.86,0.166016,156.917
42.2515,0.176642,2232,0.105469,195.432
42.3444,0.146539,2319.59,0.126953,176.133
42.4372,0.124804,2109.05,0.115234,156.013
42.5301,0.072985,2161.42,0.123047,58.7774
42.6229,0.0989937,3427.53,0.280273,156.917
42.7158,0.163623,3087.44,0.13916,130.435
42.8087,0.169986,1790.91,0.0532227,131.951
42.9015,0.135293,1302.36,0.0498047,205.86
42.9944,0.142365,997.846,0.0317383,195.432
43.0872,0.179652,2963.26,0.105469,205.86
43.1801,0.184164,2113.35,0.105957,214.355
43.273,0.155925,1967.97,0.0991211,140.607
43.3658,0.180578,1652.73,0.0727539,131.951
43.4587,0.154782,1967.05,0.0595703,213.12
43.5515,0.147206,2082.21,0.0561523,117.555
